scale,err,#patients,#tissues,patient_id,tissue_name
31.660526,23.574130,360,16,GTEX-17F9E,Nerve_Tibial
6.213712,5.762602,117,34,GTEX-ZAB4,Brain_Frontal_Cortex_BA9
6.784364,7.750997,151,22,GTEX-ZPU1,Artery_Coronary
11.469854,12.915110,368,19,GTEX-ZTPG,Whole_Blood
1.300880,4.228361,82,24,GTEX-QDT8,Brain_Spinal_cord_cervical_c-1
7.712976,4.034736,129,16,GTEX-132Q8,Brain_Nucleus_accumbens_basal_ganglia
17.141864,18.619002,357,20,GTEX-Y8LW,Esophagus_Mucosa
11.378326,16.189000,490,11,GTEX-16NPX,Muscle_Skeletal
3.285233,4.374412,219,22,GTEX-12WSL,Pancreas
21.331586,50.782275,334,3,GTEX-1399Q,Skin_Not_Sun_Exposed_Suprapubic
5.546530,4.945819,129,8,GTEX-NL3H,Brain_Nucleus_accumbens_basal_ganglia
13.831177,4.374903,108,9,GTEX-145MG,Brain_Anterior_cingulate_cortex_BA24
22.396261,16.700885,490,19,GTEX-16NGA,Muscle_Skeletal
13.378871,11.254810,312,17,GTEX-ZYVF,Adipose_Visceral_Omentum
29.923183,40.954951,413,10,GTEX-OXRN,Skin_Sun_Exposed_Lower_leg
16.723643,19.489730,299,2,GTEX-ZVE1,Cells_Transformed_fibroblasts
16.285404,15.813755,382,9,GTEX-14PJ5,Lung
20.750551,10.690622,334,12,GTEX-R55D,Esophagus_Muscularis
8.204278,10.593604,212,23,GTEX-13QBU,Esophagus_Gastroesophageal_Junction
10.521488,9.516064,387,13,GTEX-ZGAY,Artery_Tibial
19.020253,17.951592,334,16,GTEX-ZYFC,Skin_Not_Sun_Exposed_Suprapubic
5.263564,4.259683,236,17,GTEX-146FR,Stomach
3.382033,4.458206,129,22,GTEX-12ZZY,Brain_Nucleus_accumbens_basal_ganglia
6.190886,5.025895,107,18,GTEX-147F4,Brain_Hypothalamus
10.691226,8.168760,312,16,GTEX-12WSA,Adipose_Visceral_Omentum
2.863573,5.534607,143,14,GTEX-15DDE,Brain_Caudate_basal_ganglia
8.658984,9.344837,245,17,GTEX-XMK1,Colon_Transverse
11.659679,18.507264,245,15,GTEX-ZXES,Colon_Transverse
7.290397,4.841354,100,23,GTEX-11ZTS,Uterus
14.452818,11.921286,299,17,GTEX-12C56,Cells_Transformed_fibroblasts
15.237031,9.064194,263,36,GTEX-12WSD,Heart_Atrial_Appendage
24.095687,21.104191,413,22,GTEX-U3ZN,Skin_Sun_Exposed_Lower_leg
14.104202,14.021522,312,15,GTEX-13X6H,Adipose_Visceral_Omentum
2.501186,2.125360,124,26,GTEX-13O3O,Brain_Cerebellar_Hemisphere
3.869354,4.961504,202,23,GTEX-11I78,Colon_Sigmoid
14.264119,10.766168,368,21,GTEX-YEC3,Whole_Blood
9.806941,4.002508,398,20,GTEX-ZYFG,Thyroid
24.766117,34.744108,384,21,GTEX-1A3MV,Adipose_Subcutaneous
16.473720,12.510927,334,20,GTEX-X585,Skin_Not_Sun_Exposed_Suprapubic
3.358965,1.477309,110,14,GTEX-13QIC,Brain_Hippocampus
9.515999,7.417203,245,23,GTEX-Y8E4,Colon_Transverse
1.363325,1.913657,152,16,GTEX-17F96,Liver
29.330600,20.926775,312,10,GTEX-1CAMR,Adipose_Visceral_Omentum
7.013100,4.018875,360,26,GTEX-WYVS,Nerve_Tibial
13.111484,8.192797,360,26,GTEX-13PVQ,Nerve_Tibial
7.808044,5.617616,387,14,GTEX-PSDG,Artery_Tibial
31.570003,22.444994,413,23,GTEX-131XF,Skin_Sun_Exposed_Lower_leg
18.699153,12.849622,82,19,GTEX-RNOR,Brain_Spinal_cord_cervical_c-1
6.757378,3.879172,145,27,GTEX-11DXX,Spleen
8.787239,4.627468,212,14,GTEX-ZY6K,Esophagus_Gastroesophageal_Junction
7.431201,28.404124,271,14,GTEX-13O3P,Heart_Left_Ventricle
3.134744,3.110972,121,24,GTEX-ZVT2,Ovary
14.354553,12.917744,135,19,GTEX-ZE7O,Brain_Cortex
8.360841,3.929038,129,27,GTEX-T5JC,Brain_Nucleus_accumbens_basal_ganglia
8.749947,8.734146,108,4,GTEX-13CIG,Brain_Anterior_cingulate_cortex_BA24
5.083870,2.186900,117,25,GTEX-13OVL,Brain_Frontal_Cortex_BA9
8.694327,6.168905,360,25,GTEX-12BJ1,Nerve_Tibial
32.108378,13.168744,312,18,GTEX-111CU,Adipose_Visceral_Omentum
8.493983,11.506856,398,20,GTEX-1BAJH,Thyroid
4.901447,27.008625,271,21,GTEX-WL46,Heart_Left_Ventricle
8.691375,6.922074,334,23,GTEX-11P81,Skin_Not_Sun_Exposed_Suprapubic
16.661343,12.415562,263,22,GTEX-Z93S,Heart_Atrial_Appendage
10.973552,11.126983,224,17,GTEX-PLZ6,Testis
6.404377,5.381302,100,24,GTEX-TSE9,Uterus
4.515877,2.628960,174,24,GTEX-131XG,Adrenal_Gland
19.782686,12.894079,334,22,GTEX-139YR,Esophagus_Muscularis
4.298215,2.494604,202,19,GTEX-11VI4,Colon_Sigmoid
12.124671,14.295032,299,18,GTEX-XQ3S,Cells_Transformed_fibroblasts
12.805148,4.066994,84,8,GTEX-1EH9U,Minor_Salivary_Gland
12.029216,8.666470,334,18,GTEX-XQ3S,Esophagus_Muscularis
15.276267,5.944079,384,14,GTEX-TKQ1,Adipose_Subcutaneous
35.677576,22.073417,398,15,GTEX-14ASI,Thyroid
4.515960,3.821314,116,18,GTEX-YFCO,Cells_EBV-transformed_lymphocytes
14.883865,5.389275,266,26,GTEX-13PVQ,Artery_Aorta
14.535586,15.139934,224,23,GTEX-13FTW,Testis
2.327972,1.494886,174,23,GTEX-ZP4G,Adrenal_Gland
16.499195,6.188906,124,15,GTEX-14ASI,Brain_Cerebellar_Hemisphere
66.404142,67.802667,368,18,GTEX-PWCY,Whole_Blood
11.948008,7.293911,266,26,GTEX-13O3O,Artery_Aorta
6.364448,8.906015,143,8,GTEX-13CZV,Brain_Caudate_basal_ganglia
29.652514,19.524229,116,15,GTEX-Y8DK,Cells_EBV-transformed_lymphocytes
35.630251,43.711176,271,21,GTEX-13JVG,Heart_Left_Ventricle
3.569314,1.895545,174,23,GTEX-13FTW,Adrenal_Gland
10.172091,5.108591,110,19,GTEX-QVJO,Brain_Hippocampus
45.468460,34.619250,382,7,GTEX-R3RS,Lung
24.044374,19.825784,299,16,GTEX-R53T,Cells_Transformed_fibroblasts
5.622371,3.804643,202,11,GTEX-16BQI,Colon_Sigmoid
16.686658,23.730681,312,17,GTEX-146FR,Adipose_Visceral_Omentum
16.436303,15.963868,299,25,GTEX-XV7Q,Cells_Transformed_fibroblasts
1.792445,6.536258,105,18,GTEX-13OVI,Vagina
14.982054,16.051024,387,30,GTEX-12ZZX,Artery_Tibial
13.878989,8.064623,271,30,GTEX-14C5O,Heart_Left_Ventricle
9.039899,8.035565,107,21,GTEX-14PN4,Brain_Hypothalamus
40.045947,51.053863,413,14,GTEX-15DDE,Skin_Sun_Exposed_Lower_leg
10.779512,8.254235,84,19,GTEX-ZE7O,Minor_Salivary_Gland
9.911500,10.117130,224,25,GTEX-YEC4,Testis
44.026614,53.956842,398,18,GTEX-X15G,Thyroid
11.383518,10.457471,360,21,GTEX-N7MS,Nerve_Tibial
13.071418,9.114386,334,24,GTEX-WFON,Esophagus_Muscularis
18.386424,16.986348,334,22,GTEX-T2IS,Esophagus_Muscularis
8.284365,5.381804,266,17,GTEX-ZYY3,Artery_Aorta
37.672172,44.972574,357,17,GTEX-11EI6,Esophagus_Mucosa
7.601119,10.687449,117,18,GTEX-13S7M,Brain_Frontal_Cortex_BA9
7.241941,5.274320,219,20,GTEX-ZC5H,Pancreas
14.874879,12.244264,151,17,GTEX-14PN3,Artery_Coronary
9.272013,22.506878,263,20,GTEX-1AX8Z,Heart_Atrial_Appendage
13.522807,8.508966,219,36,GTEX-12WSD,Pancreas
27.986099,19.671354,299,8,GTEX-U412,Cells_Transformed_fibroblasts
27.578315,9.043639,382,19,GTEX-1AX9I,Lung
24.467003,24.269910,312,16,GTEX-1B933,Adipose_Visceral_Omentum
4.730503,7.701336,250,25,GTEX-XV7Q,Breast_Mammary_Tissue
26.137890,26.356296,357,26,GTEX-13PVQ,Esophagus_Mucosa
12.664599,9.733121,266,9,GTEX-S4P3,Artery_Aorta
7.881203,4.228009,129,30,GTEX-14C5O,Brain_Nucleus_accumbens_basal_ganglia
